그림명,카테고리,연도,소재,가격
신 무릉도원도,2026,2014,"천에먹,아크릴",
Utopia-A Meditation,2026,2014,Ink-Stick and Acrylic on Canvas,
Utopia-A Meditation,2026,2014,Ink-stick and Acrylic on canvas,
Utopia-A Meditation,2026,2014,Ink-stick and Acrylic on canvas,
Utopia-A companion,2026,2014,Ink-stick and Acrylic on canvas,600만원
Utopia-A companion,2026,2014,Ink-stick and Acrylic on canvas,
신무릉도원도,2026,2014,"천에먹,아크릴",
Festivities-A Meditation_62cm x 47cm,2026,2013,Ink-stick and Acrylic on Korean paper,
Festivities-A Meditation_62cm x 47cm,2026,2013,Ink-stick and Acrylic on Korean paper,
Utopia-A Meditation_73cm x 61cm,2026,2013,Ink-stick and Acrylic on canvas,"1,000만원"
Utopia-A Meditation,2026,2013,Ink-stick and Acrylic on canvas,
My appearance_45.3cm x 53cm,2026,2013,Ink-stick and Acrylic on canvas,
Utopia-A Meditation_140cm x 140cm,2026,2013,Ink-stick and Acrylic on canvas,
Utopia-A companion_69cm x 15cm_Acrylic on Wooden board,2026,2013,,
Festivities-A Meditation_62cm x 47cm,2026,2013,Ink-stick and Acrylic on Korean paper,1000만원
신무릉도원-사색,2026,2013,천에먹 아크릴,
신무릉도원-동행,2026,2012,천에먹 아크릴,
사본 -02 신무릉도원-동행,2026,2012,천에먹 아크릴,
사본 -03 신무릉도원-동행,2026,2012,"천에먹, 아크릴",
사본 -04 신무릉도원-동행,2026,2012,천에먹 아크릴,
사본 -10 신무릉도원-동행,2026,2012,천에먹 아크릴,
왕열 Wang yeul신무릉도원-동행,2026,2012,천에먹 아크릴,1100만원
왕열Wang yeul 신무릉도원-동행,2026,2012,천에먹 아크릴,"2012,1100만원"
신무릉도원-동행,2026,2011,천에먹 아크릴,
02Utopia-A companion_53cm x 45.5cm,2026,2011,Ink-stick and Acrylic on canvas,
Utopia-A companion,2026,2011,Ink-Stick and Acrylic on Canvas,
Utopia-A Pacho,2026,2011,Ink-Stick and Acrylic on Canvas,
12신무릉도원,2026,2011,천에먹 아크릴,
Utopia-A companion,2026,2011,Ink-Stick and Acrylic on Canvas,3800만원
Utopia-A Meditation 72.5x60.5cm,2026,2010,Ink-Stick and Acrylic on Canvas,"2010,1200만원"
Utopia-A companion,2026,2009,Ink-Stick and Acrylic on Canvas,1200만원
Utopia-A Meditation,2026,2009,Ink-Stick and Acrylic on Canvas,"2009,1200만원"
Utopia,2026,2008,Ink-Stick and Acrylic on Canvas,"1,200만원"
Utopia-A companion,2026,2008,Ink-Stick and Acrylic on Canvas,4000만원
Utopia-A Pacho,2026,2008,Ink-Stick and Acrylic on Canvas,
Utopia-A companion,2026,2008,Ink-Stick and Acrylic on Canvas,
Utopia-A companion,2026,2006,Ink-Stick and Acrylic on Canvas,
Thoughts on Winter,2026,1998,mixed media on korean paper,
Family,2026,1997,mixed media on korean paper,
10,2026,,,
3,2026,,,
9,2026,,,
11신무릉도원-동행,2026,,"천에먹, 아크릴",1000만원
"17, 개띠새아침",2026,,"천에 먹,아크릴",1500만원
파초,2026,,"천에먹,아크릴",1500만원
개띠새아침,2026,,"천에 먹,아크릴",1500만원
Utopia-A companion,2026,,Ink-Stick and Acrylic on Canvas,
5D9A3896-향상됨,2026,,,
Utopia-A companion,2026,,Ink-Stick and Acrylic on Canvas,
DSC_0650-1,2026,,,
IMG_1101,2026,,,
IMG_1111,2026,,,
IMG_1112,2026,,,
IMG_2608-향상됨,2026,,,
IMG_3810-향상됨-SR,2026,,,
IMG_9507,2026,,,
다빈치책겉표지,2026,,,
부채 002-1,2026,,,
부채 004-1,2026,,,
올IMG_9157,2026,,,
왕열-기도,2026,,,
왕열0029,2026,,,
왕열0032,2026,,,
왕열_070427_4,2026,,,
왕열_080314_09,2026,,,
왕열_혼돈-명상_53x45.6cm_03,2026,,,
왕열_혼돈-명상_53x45.6cm_06,2026,,,
제목 없음-1,2026,,,
제목 없음-2,2026,,,
크기변환_07 신무릉도원-동행,2026,,"천에먹, 아크릴",500만원
크기변환_23닭띠새아침,2026,,"천에먹,아크릴",1500만원
무명독립운동가,2jung,2020,Acrylic on canvas,
왕열 Utopia-A Meditation cm Ink-ick and,2jung,2018,Acrylic on Canvas,4500만원
"신무릉도원도-동행, 45.5X106cm,캠퍼스에 아크릴",2jung,2017,,
신무릉도원도-명상,2jung,2017,"천에먹,아크릴",
신무릉도원도-명상,2jung,2017,"천에먹,아크릴",
신무릉도원도-명상_91x117cm,2jung,2016,"천에먹, 아크릴",
신무릉도원도-명상,2jung,2014,Ink stick and acrylic on canvas,
43Utopia-A companion,2jung,2008,Ink-Stick and Acrylic on Canvas,6500만원
After the winter,2jung,2004,Ink-Stick and Acrylic on Canvas,
After the winter,2jung,2004,Ink-Stick and Acrylic on Canvas,1500만원
겨울나기이후 After the winter,2jung,2004,Ink-Stick and Acrylic on Canvas,
겨울나기 이후,2jung,2004,Ink stick and acrylic on canvas,
"겨울나기이후3,62cmx62cm,한지에 수묵담채",2jung,2004,,
Out,2jung,,Ink-Stick and Acrylic on Canvas,1500만원
겨울나기이후3 Utopia-A companion,2jung,,Ink-Stick and Acrylic on Canvas,
유토피아-명상,blue,2025,Acrylic on canvas,
Utopia-Meditation,blue,2025,Acrylic on canvas,5000만원
Utopia-Meditation,blue,2025,Acrylic on canvas,8000만원
유토피아-명상,blue,2025,Acrylic on canvas,2000만원
KakaoTalk,blue,2024,Acrylic on canvas,
Utopia-meditation,blue,2023,Acrylic on canvas,5800만원
Utopia-meditation,blue,2023,Acrylic on canvas,
Utopia-meditation,blue,2023,Acrylic on canvas,7000만원
Utopia-meditation,blue,2023,Acrylic on canvas,
Utopia-meditation,blue,2023,Acrylic on canvas,
Utopia-meditation,blue,2023,Acrylic on canvas,
Utopia-meditation,blue,2023,Acrylic on canvas,
Utopia-meditation,blue,2023,Acrylic on canvas,4500만원
Utopia-meditation,blue,2023,Acrylic on canvas,
Utopia-meditation,blue,2023,Acrylic on canvas,
Utopia-meditation,blue,2022,Acrylic on canvas,5500만원
"왕열.Utopia-Meditation, 116.8x91.0cm",blue,2022,Acrylic on canvas,2500만원
Utopia-meditation,blue,2022,Acrylic on canvas,
Utopia-A Meditation,blue,2022,Ink-Stick and Acrylic on Canvas,1200만원
"왕열.Utopia-Meditation, 116.8x91.0cm",blue,2022,Acrylic on canvas,2500만원
유토피아-명상,blue,2021,Acrylic on canvas,8800만원
Utopia-meditation,blue,2020,Acrylic on canvas,2500만원
왕열07_신 무릉도원도-명상_70x200cm,blue,2016,"천에먹, 아크릴",
왕열왕열_신무릉도원도-명상,blue,2016,천에 먹 아크릴,
Utopia-A companion 333x248.5cm,blue,2015,Ink-Stick and Acrylic on Canvas,1억5000만원
Utopia-A Meditation,blue,2014,Ink-stick and Acrylic on canvas,
신무릉도원-명상,blue,2014,"천에먹, 아크릴",
신무릉도원도,blue,2014,"천에먹,아크릴",
Utopia-A Meditation_91cm x 73cm,blue,2013,Ink-stick and Acrylic on canvas,
Utopia-A Meditation,blue,2013,Ink-stick and Acrylic on canvas,
Utopia-A Meditation_201cm x 136cm,blue,2013,Ink-stick and Acrylic on canvas,
Utopia-A companion_53cm x 45.5cm,blue,2013,Ink-stick and Acrylic on canvas,
신무릉도원-동행,blue,2012,천에먹 아크릴,
Utopia-A companion,blue,2012,Ink-Stick and Acrylic on Canvas,
사본 -15 신무릉도원-동행,blue,2012,천에먹 아크릴,
11신무릉도원-동행,blue,2011,천에먹 아크릴,
신무릉도원(동행),blue,2011,천에먹 아크릴,
Utopia-A companion,blue,2011,Ink-Stick and Acrylic on Canvas,3800만원
신무릉도원(동행),blue,2011,천에먹 아크릴,
Utopia-A companion,blue,2010,Ink-Stick and Acrylic on Canvas,3800만원
Utopia-A companion,blue,2007,Ink-Stick and Acrylic on Canvas,"3,000만원"
Utopia-A companion,blue,2007,Ink-Stick and Acrylic on Canvas,
Utopia-A companion,blue,2007,Ink-Stick and Acrylic on Canvas,3700만원
Utopia-A companion,blue,2007,Ink-Stick and Acrylic on Canvas,
Utopia-A companion,blue,2006,Ink-Stick and Acrylic on Canvas,4000만원
Utopia-A companion,blue,2005,Ink-Stick and Acrylic on Canvas,4000만원
Utopia-A companion,blue,2005,Ink-Stick and Acrylic on Canvas,3000만원
Utopia-A companion,blue,2005,Ink-Stick and Acrylic on Canvas,
신무릉도원-동행,blue,,"천에먹, 아크릴",2200만원
Utopia-A companion,blue,,Ink-Stick and Acrylic on Canvas,
145-1,blue,,,
Utopia-A companion,blue,,Ink-Stick and Acrylic on Canvas,
12신무릉도원-동행,blue,,"천에먹, 아크릴",
Utopia-A companion,blue,,Ink-stick and Acrylic on canvas,
신무릉도원-동행,blue,,"천에먹, 아크릴",1500만원
21신무릉도원-동행,blue,,"천에먹, 아크릴",1000만원
3,blue,,,
Utopia-A companion,blue,,Ink-Stick and Acrylic on Canvas,
A0006359-향상됨,blue,,,
경기도미술관소장,blue,,,
사본 -IMG_9675,blue,,,
신무릉도원 (동행),blue,,"천에먹,아크릴",
신무릉도원 -동행,blue,,천에먹 아크릴,
신무릉도원(동행),blue,,"천에먹,아크릴",
올IMG_9128,blue,,,
KakaoTalk,ink,2026,,
KakaoTalk,ink,2026,,
KakaoTalk,ink,2026,,
Utopia-Meditation,ink,2024,Acrylic on canvas,
Utopia-Meditation,ink,2024,Acrylic on canvas,
유토피아-명상,ink,2024,Acrylic on canvas,
Utopia-Meditation,ink,2024,Acrylic on canvas,
Utopia-Meditation,ink,2024,Acrylic on canvas,
Utopia-A Meditation,ink,2023,Ink-Stick and Acrylic on Canvas,
Utopia-meditation,ink,2023,Acrylic on canvas,
Utopia-meditation,ink,2023,Acrylic on canvas,
Utopia-meditation,ink,2023,Acrylic on canvas,2500만원
Utopia-meditation,ink,2023,Acrylic on canvas,
Utopia-meditation,ink,2023,Acrylic on canvas,4200만원
Utopia-meditation,ink,2023,Acrylic on canvas,"$23,000"
Utopia-A companion,ink,2023,Ink-Stick and Acrylic on Canvas,
Utopia-meditation,ink,2023,Acrylic on canvas,3000만원
Utopia-meditation,ink,2023,Acrylic on canvas,
Utopia-meditation,ink,2023,Acrylic on canvas,"$12,000"
Utopia-meditation,ink,2023,Acrylic on canvas,4000만원
Utopia-A companion,ink,2023,Ink-Stick and Acrylic on Canvas,4200만원
Utopia-A companion,ink,2023,Ink-Stick and Acrylic on Canvas,"$19,000"
Utopia-meditation,ink,2023,Acrylic on canvas,
유토피아-동행,ink,2023,Ink stick and acrylic on canvas,"$19,000"
Utopia-meditation,ink,2023,Acrylic on canvas,4000만원
Utopia-meditation,ink,2023,Acrylic on canvas,
Utopia-meditation,ink,2023,Acrylic on canvas,
Utopia-meditation,ink,2023,Acrylic on canvas,"$19,000"
Utopia-A companion,ink,2022,Ink-Stick and Acrylic on Canvas,600만원
Utopia-醉中,ink,2021,Acrylic on canvas,
"Utopia-Meditation, 90.9x72.7cm",ink,2021,Acrylic on canvas,1500만원
Utopia-A Meditation,ink,2021,Ink-Stick and Acrylic on Paper,
Utopia-醉中,ink,2021,Acrylic on canvas,1500만원
Utopia-meditation,ink,2021,Acrylic on canvas,"$12,000"
왕열.Utopia-meditation,ink,2021,Acrylic on canvas,
왕열.Utopia-meditation,ink,2021,Acrylic on canvas,600만원
Utopia-醉中,ink,2020,Acrylic on canvas,1900만원
Utopia-meditation,ink,2020,Acrylic on canvas,2500만원
Utopia-醉中,ink,2020,Acrylic on canvas,1500만원
"왕열 Utopia-Meditation, 90.9x72.7cm",ink,2020,Acrylic on canvas,
"왕열 Utopia-Meditation, 90.9x72.7cm",ink,2020,Acrylic on canvas,
Utopia-A Meditation,ink,2019,Ink-stick and Acrylic on canvas,
"Flower in Utopia,80.0x300.0cm",ink,2019,Acrylic on canvas,
Utopia-A companion,ink,2019,Ink-Stick and Acrylic on Canvas,
"왕열 Flower in Utopia,116.8x91.0cm",ink,2019,Acrylic on canvas,
"신무릉도원도-동행, 53X45cm",ink,2017,천에먹 아크릴,
"신무릉도원도-동행, 53X45cm",ink,2017,천에먹 아크릴,
Utopia-A Meditation,ink,2017,Ink-stick and Acrylic on canvas,"2017,4800만원"
"신 무릉도원도-224cmx143cm,명상,천에 먹 과아크릴",ink,2017,,
신무릉도원도-명상,ink,2017,"천에먹,아크릴",
Utopia-A Meditation,ink,2014,Ink-stick and Acrylic on canvas,
신 무릉도원도-명상,ink,2014,"천에먹,아크릴",
신무릉도원-명상,ink,2014,"천에먹, 아크릴",
"10,신무릉도원도",ink,2014,"천에먹,아크릴",
Utopia-A Meditation,ink,2014,Ink-stick and Acrylic on canvas,
신무릉도원-명상,ink,2014,"천에먹, 아크릴",
신 무릉도원도-명상,ink,2014,"천에먹,아크릴",
신무릉도원도,ink,2014,"천에먹,아크릴",
Festivities-A Meditation_62cm x 47cm,ink,2013,Ink-stick and Acrylic on Korean paper,700만원
신무릉도원-동행,ink,2012,천에먹 아크릴,
신무릉도원-동행,ink,2012,천에먹 아크릴,
신무릉도원-동행,ink,2012,천에먹 아크릴,
신무릉도원-동행,ink,2012,천에먹 아크릴,
Utopia-A companion,ink,2012,Ink-Stick and Acrylic on Canvas,
Utopia-A companion,ink,2012,Ink-Stick and Acrylic on Canvas,
Utopia-A companion,ink,2012,Ink-Stick and Acrylic on Canvas,1260만원
Utopia-A companion,ink,2012,Ink-Stick and Acrylic on Canvas,
Utopia-A Meditation 135x135cm,ink,2012,Ink-Stick and Acrylic on Canvas,"$19,000"
Utopia-A companion,ink,2011,Ink-Stick and Acrylic on Canvas,
Utopia-A companion,ink,2011,Ink-Stick and Acrylic on Canvas,
Utopia-A companion,ink,2007,Ink-Stick and Acrylic on Canvas,
Utopia-A companion,ink,2006,Ink-Stick and Acrylic on Canvas,3억원
After the winter,ink,2004,Ink-Stick and Acrylic on Canvas,
origin,ink,2001,mixed media on korean paper,
harmony songs,ink,2000,mixed media on korean paper,
아침-가장의모습,ink,2000,,
0000001,ink,,,
왕열 185X135cm,ink,,,
1,ink,,,
5,ink,,,
왕열 72.7X90.9cm,ink,,,
신무릉도원-동행,ink,,천에먹 아크릴,1200만원
신무릉도원-동행,ink,,"천에먹, 아크릴",500만원
Utopia-meditation,ink,,Acrylic on canvas,
Utopia-A companion,ink,,Ink-Stick and Acrylic on Canvas,
Utopia-meditation,ink,,Acrylic on canvas,
DSC_0651-2,ink,,,
Utopia-A companion,ink,,Ink-Stick and Acrylic on Canvas,
가장-혹은나의모습,ink,,"한지,먹,아크릴",
겨울나기 (1),ink,,,
겨울나기 (2),ink,,,
겨울나기 (3),ink,,,
겨울나기,ink,,,
Utopia-Meditation,red,2025,Acrylic on canvas,5000만원
Utopia-Meditation,red,2025,Acrylic on canvas,5000만원
KakaoTalk,red,2025,,
KakaoTalk,red,2025,,
KakaoTalk,red,2025,,
유토피아-명상,red,2024,Acrylic on canvas,6500만원
유토피아-명상,red,2024,Acrylic on canvas,9000만원
Utopia-meditation,red,2023,Acrylic on canvas,
Utopia-meditation,red,2023,Acrylic on canvas,
Utopia-A Meditation,red,2023,Ink-Stick and Acrylic on Canvas,9500만원
Utopia-meditation,red,2023,Acrylic on canvas,
Utopia-meditation,red,2023,Acrylic on canvas,
Utopia-meditation,red,2023,Acrylic on canvas,
유토피아-명상,red,2023,Ink stick and acrylic on canvas,
Utopia-meditation,red,2023,Acrylic on canvas,
Utopia-A companion,red,2022,Ink-Stick and Acrylic on Canvas,600만원
KakaoTalk,red,2022,,
Utopia-A companion 72x92cm,red,2017,Ink-Stick and Acrylic on Canvas,"2017,1500만원"
Utopia-A companion,red,2017,Ink-Stick and Acrylic on Canvas,3800만원
Utopia-A companion,red,2017,Ink-Stick and Acrylic on Canvas,"2017,3400만원"
왕열08_신 무릉도원도-명상_70x200cm,red,2015,"천에먹, 아크릴",
신무릉도원-명상,red,2014,"천에먹, 아크릴",
신무릉도원-명상,red,2014,"천에먹, 아크릴",
Utopia-A Meditation,red,2014,Ink-stick and Acrylic on canvas,
신 무릉도원도명상,red,2014,"천에먹,아크릴",
신 무릉도원도-명상,red,2014,"천에먹,아크릴",
Utopia-A Meditation,red,2014,Ink-stick and Acrylic on canvas,
Utopia-A companion_73cm x 61cm,red,2013,Ink-stick and Acrylic on canvas,
Utopia-A companion_53cm x 45.5cm,red,2013,Ink-stick and Acrylic on canvas,
Utopia-A Meditation_225cm x 225cm,red,2013,Ink-stick and Acrylic on canvas,
신무릉도원-동행,red,2012,천에먹 아크릴,
Utopia-A companion,red,2012,Ink-Stick and Acrylic on Canvas,
Utopia-A companion,red,2012,Ink-Stick and Acrylic on Canvas,
13신무릉도원(동행),red,2011,천에먹 아크릴,
Utopia-A companion,red,2011,Ink-Stick and Acrylic on Canvas,
Utopia-A companion,red,2010,Ink-Stick and Acrylic on Canvas,3800만원
Utopia-A companion,red,2009,Ink-Stick and Acrylic on Canvas,
Utopia-A companion,red,2008,Ink-Stick and Acrylic on Canvas,8800만원
Utopia-A companion,red,2008,Ink-Stick and Acrylic on Canvas,2700만원
Utopia-A companion,red,2008,Ink-Stick and Acrylic on Canvas,
Utopia-A companion,red,2008,Ink-Stick and Acrylic on Canvas,
Utopia-A companion,red,2008,Ink-Stick and Acrylic on Canvas,
Utopia-A companion(lover),red,2007,Ink-Stick and Acrylic on Canvas,4800만원
Utopia-Ink-Stickand,red,2007,Acrylic on Canvas,3800만원
가을날의 여행겨울나기이후 After the winter-Ink-Stick and Acrylic on Canv72x64cm,red,2004,,
신무릉도원-동행,red,,"천에먹, 아크릴",750만원
Utopia-A Meditation_60.6X72.7cm,red,,,
10Utopia-A companion,red,,Ink-stick and Acrylic on canvas,
10월,red,,,
2,red,,,
Utopia-A companion,red,,Ink-stick and Acrylic on canvas,
IMG_1496,red,,,
올IMG_9154,red,,,
